time,pm25,pm10,so2,co,no2,o3,aqi,weather,ws,wd,temp,sd,month,weekday,clock_num
1462413600.0,19.0,26.0,5.0,1.1152499914169312,7.0,31.0,27.0,0.0,2.0,7.0,29.0,78.0,5.0,3.0,2.0
1462417200.0,20.0,23.0,5.0,1.0767500400543213,6.0,39.0,28.0,0.0,2.0,7.0,29.0,78.0,5.0,3.0,3.0
1462420800.0,21.0,33.0,6.0,1.101249933242798,6.0,45.0,33.0,0.0,3.0,9.0,30.0,72.0,5.0,3.0,4.0
1462424400.0,21.0,31.0,6.0,1.1042499542236328,5.0,48.0,30.0,0.0,3.0,9.0,29.0,70.0,5.0,3.0,5.0
1462428000.0,20.0,27.0,5.0,1.0777500867843628,4.0,50.0,28.0,0.0,3.0,11.0,30.0,71.0,5.0,3.0,6.0
1462431600.0,21.0,27.0,5.0,1.0945000648498535,5.0,46.0,29.0,0.0,3.0,11.0,31.0,72.0,5.0,3.0,7.0
1462435200.0,21.0,29.0,5.0,0.9957500100135804,5.0,44.0,30.0,0.0,2.0,9.0,30.0,75.0,5.0,3.0,8.0
1462438800.0,22.0,31.0,5.0,0.9664999842643738,6.0,42.0,31.0,0.0,3.0,9.0,30.0,74.0,5.0,3.0,9.0
1462442400.0,23.0,31.0,5.0,0.9822500348091124,5.0,40.0,32.0,3.0,3.0,11.0,29.0,75.0,5.0,3.0,10.0
1462446000.0,23.0,28.0,6.0,1.0125000476837158,8.0,35.0,32.0,3.0,3.0,9.0,29.0,75.0,5.0,3.0,11.0
1462449600.0,22.0,25.0,6.0,0.9877499938011168,7.0,35.0,31.0,3.0,2.0,11.0,29.0,77.0,5.0,3.0,12.0
1462453200.0,21.0,25.0,5.0,1.006749987602234,6.0,35.0,30.0,0.0,2.0,9.0,28.0,80.0,5.0,3.0,13.0
1462456800.0,22.0,27.0,4.0,0.9323332905769348,6.0,34.0,30.0,0.0,2.0,9.0,27.0,83.0,5.0,3.0,14.0
1462460400.0,20.0,23.0,4.0,0.9009999632835388,5.0,35.0,29.0,0.0,2.0,9.0,28.0,82.0,5.0,3.0,15.0
1462464000.0,20.0,25.0,4.0,0.8740000128746033,2.0,36.0,28.0,2.0,2.0,9.0,27.0,83.0,5.0,4.0,16.0
1462467600.0,19.0,25.0,4.0,0.8656666874885559,2.0,37.0,27.0,2.0,2.0,9.0,27.0,83.0,5.0,4.0,17.0
1462471200.0,19.0,24.0,3.0,0.8716666102409363,2.0,37.0,27.0,2.0,2.0,11.0,27.0,82.0,5.0,4.0,18.0
1462474800.0,19.0,18.0,14.0,0.8700000643730164,4.0,45.0,27.0,2.0,2.0,11.0,27.0,82.0,5.0,4.0,19.0
1462478400.0,19.0,24.0,10.0,0.878000020980835,7.0,43.0,26.0,2.0,3.0,11.0,27.0,83.0,5.0,4.0,20.0
1462482000.0,19.0,26.0,5.0,0.9296666979789734,3.0,33.0,26.0,2.0,3.0,11.0,27.0,84.0,5.0,4.0,21.0
1462485600.0,19.0,23.0,5.0,0.98499995470047,3.0,30.0,27.0,0.0,1.0,11.0,27.0,85.0,5.0,4.0,22.0
1462489200.0,19.0,21.0,6.0,1.155250072479248,6.0,26.0,27.0,0.0,2.0,7.0,27.0,86.0,5.0,4.0,23.0
1462492800.0,19.0,26.0,6.0,1.1375000476837158,7.0,27.0,26.0,0.0,1.0,7.0,27.0,86.0,5.0,4.0,0.0
1462496400.0,20.0,27.0,6.0,1.1115000247955322,7.0,32.0,28.0,0.0,3.0,9.0,27.0,82.0,5.0,4.0,1.0
1462500000.0,22.0,29.0,6.0,1.055999994277954,7.0,38.0,31.0,0.0,2.0,9.0,28.0,79.0,5.0,4.0,2.0
1462503600.0,22.0,33.0,6.0,1.0119999647140503,7.0,45.0,33.0,0.0,2.0,11.0,29.0,75.0,5.0,4.0,3.0
1462507200.0,22.0,27.0,6.0,0.9947500228881836,5.0,53.0,31.0,0.0,2.0,9.0,29.0,77.0,5.0,4.0,4.0
1462510800.0,22.0,31.0,5.0,0.993499994277954,4.0,55.0,31.0,0.0,3.0,9.0,30.0,70.0,5.0,4.0,5.0
1462514400.0,21.0,29.0,5.0,0.9547500014305116,4.0,54.0,30.0,0.0,2.0,9.0,31.0,70.0,5.0,4.0,6.0
1462518000.0,19.0,25.0,6.0,0.9797500371932985,5.0,51.0,27.0,0.0,2.0,11.0,30.0,74.0,5.0,4.0,7.0
1462521600.0,20.0,29.0,5.0,0.9605000019073486,4.0,48.0,29.0,0.0,2.0,9.0,31.0,70.0,5.0,4.0,8.0
1462525200.0,20.0,33.0,5.0,0.9329999089241028,6.0,44.0,33.0,0.0,3.0,9.0,30.0,73.0,5.0,4.0,9.0
1462528800.0,20.0,31.0,5.0,0.9620000720024108,9.0,39.0,31.0,0.0,3.0,9.0,29.0,75.0,5.0,4.0,10.0
1462532400.0,20.0,25.0,4.0,0.9786667227745056,10.0,36.0,29.0,0.0,2.0,9.0,29.0,76.0,5.0,4.0,11.0
1462536000.0,20.0,23.0,4.0,0.9580000042915344,9.0,33.0,28.0,0.0,2.0,9.0,28.0,79.0,5.0,4.0,12.0
1462539600.0,17.0,23.0,5.0,1.0059999227523804,19.0,65.0,23.0,0.0,2.0,9.0,28.0,82.0,5.0,4.0,13.0
1462543200.0,16.0,19.0,5.0,1.0443333387374878,22.0,64.0,22.0,0.0,2.0,1.0,27.0,84.0,5.0,4.0,14.0
1462546800.0,15.0,19.0,5.0,0.9980000853538512,19.0,61.0,20.0,0.0,3.0,5.0,24.0,82.0,5.0,4.0,15.0
1462550400.0,15.0,18.0,9.0,0.9803333282470704,38.0,34.0,21.0,0.0,2.0,7.0,24.0,87.0,5.0,5.0,16.0
1462554000.0,15.0,22.0,7.0,0.999333381652832,32.0,27.0,22.0,0.0,2.0,5.0,24.0,90.0,5.0,5.0,17.0
1462557600.0,15.0,22.0,5.0,0.9726666808128356,21.0,24.0,22.0,0.0,1.0,5.0,24.0,92.0,5.0,5.0,18.0
